company_name,rating,bio,salary,job,founded_in,field,other,city
Accenture,3.7,IT Services & Consulting | Pune +255 other locations,650000.0,31900.0,1989 (37 yrs old),IT Services & Consulting,Pune +255 other locations,pune
Wipro,3.6,IT Services & Consulting | Pune +370 other locations,480000.0,6500.0,1945 (81 yrs old),IT Services & Consulting,Pune +370 other locations,pune
Cognizant,3.6,IT Services & Consulting | Pune +229 other locations,600000.0,730.0,1994 (32 yrs old),IT Services & Consulting,Pune +229 other locations,pune
Capgemini,3.7,IT Services & Consulting | Pune +184 other locations,470000.0,1900.0,1967 (59 yrs old),IT Services & Consulting,Pune +184 other locations,pune
HDFC Bank,3.8,Banking | Pune +1821 other locations,150000.0,266.0,1994 (32 yrs old),Banking,Pune +1821 other locations,pune
Infosys,3.5,IT Services & Consulting | Pune +246 other locations,520000.0,2700.0,,IT Services & Consulting,Pune +246 other locations,pune
ICICI Bank,4.0,Banking | Pune +1438 other locations,150000.0,22.0,1994 (32 yrs old),Banking,Pune +1438 other locations,pune
HCLTech,3.4,IT Services & Consulting | Pune +226 other locations,370000.0,165.0,,IT Services & Consulting,Pune +226 other locations,pune
Tech Mahindra,3.4,IT Services & Consulting | Pune +331 other locations,280000.0,383.0,1986 (40 yrs old),IT Services & Consulting,Pune +331 other locations,pune
Genpact,3.6,IT Services & Consulting | Pune +182 other locations,230000.0,833.0,1997 (29 yrs old),IT Services & Consulting,Pune +182 other locations,pune
Teleperformance,3.8,BPO | Pune +254 other locations,95800.0,1300.0,1978 (48 yrs old),BPO,Pune +254 other locations,pune
Axis Bank,3.6,Banking | Pune +1498 other locations,100000.0,217.0,1993 (33 yrs old),Banking,Pune +1498 other locations,pune
Jio,4.4,Telecom | Pune +1893 other locations,62000.0,3.0,2018 (8 yrs old),Telecom,Pune +1893 other locations,pune
Concentrix Corporation,3.6,BPO | Pune +177 other locations,130000.0,82.0,1983 (43 yrs old),BPO,Pune +177 other locations,pune
Amazon,3.9,Internet | Pune +518 other locations,150000.0,1600.0,1994 (32 yrs old),Internet,Pune +518 other locations,pune
iEnergizer,4.6,BPO | Pune +52 other locations,23900.0,68.0,,BPO,Pune +52 other locations,pune
Reliance Retail,3.9,Retail | Pune +1150 other locations,74700.0,152.0,2006 (20 yrs old),Retail,Pune +1150 other locations,pune
LTIMindtree,3.6,IT Services & Consulting | Pune +146 other locations,190000.0,450.0,1997 (29 yrs old),IT Services & Consulting,Pune +146 other locations,pune
IBM,3.9,IT Services & Consulting | Pune +160 other locations,210000.0,813.0,1911 (115 yrs old),IT Services & Consulting,Pune +160 other locations,pune
HDB Financial Services,3.9,NBFC | Pune +1089 other locations,50200.0,203.0,2007 (19 yrs old),NBFC,Pune +1089 other locations,pune
Larsen & Toubro Limited,3.9,Engineering & Construction | Pune +754 other locations,24000.0,77.0,,Engineering & Construction,Pune +754 other locations,pune
Deloitte,3.7,Management Consulting | Pune +187 other locations,250000.0,1500.0,1845 (181 yrs old),Management Consulting,Pune +187 other locations,pune
Kotak Mahindra Bank,3.6,Banking | Pune +681 other locations,87000.0,80.0,,Banking,Pune +681 other locations,pune
Reliance Industries,4.0,Oil & Gas | Pune +812 other locations,72400.0,58.0,1977 (49 yrs old),Oil & Gas,Pune +812 other locations,pune
Vodafone Idea,3.9,Telecom | Pune +704 other locations,50300.0,30.0,2018 (8 yrs old),Telecom,Pune +704 other locations,pune
Bharti Airtel,3.8,Telecom | Pune +789 other locations,49000.0,120.0,1952 (74 yrs old),Telecom,Pune +789 other locations,pune
BYJU'S,3.2,EdTech | Pune +321 other locations,53600.0,77.0,2011 (15 yrs old),EdTech,Pune +321 other locations,pune
WNS,3.3,IT Services & Consulting | Pune +65 other locations,69800.0,82.0,1996 (30 yrs old),IT Services & Consulting,Pune +65 other locations,pune
Tata Motors,4.1,Automobile | Pune +506 other locations,42500.0,172.0,1945 (81 yrs old),Automobile,Pune +506 other locations,pune
IDFC FIRST Bank,3.9,Banking | Pune +711 other locations,48500.0,32.0,,Banking,Pune +711 other locations,pune
Ernst & Young,3.4,Management Consulting | Pune +132 other locations,24000.0,77.0,,Management Consulting,Pune +132 other locations,pune
IndusInd Bank,3.4,Banking | Pune +788 other locations,51700.0,141.0,,Banking,Pune +788 other locations,pune
AU Small Finance Bank,3.9,Banking | Pune +782 other locations,28700.0,44.0,1996 (30 yrs old),Banking,Pune +782 other locations,pune
Flipkart,3.9,Internet | Pune +560 other locations,53900.0,179.0,2007 (19 yrs old),Internet,Pune +560 other locations,pune
Bajaj Finserv,3.9,NBFC | Pune +1161 other locations,30000.0,4.0,2007 (19 yrs old),NBFC,Pune +1161 other locations,pune
Muthoot FinCorp,4.5,NBFC | Pune +1087 other locations,9000.0,43.0,,NBFC,Pune +1087 other locations,pune
PwC,3.3,Management Consulting | Pune +132 other locations,120000.0,899.0,1880 (146 yrs old),Management Consulting,Pune +132 other locations,pune
Mahindra & Mahindra,4.0,Automobile | Pune +562 other locations,24000.0,77.0,,Automobile,Pune +562 other locations,pune
DXC Technology,3.6,IT Services & Consulting | Pune +133 other locations,72800.0,198.0,2017 (9 yrs old),IT Services & Consulting,Pune +133 other locations,pune
Infosys BPM,3.5,BPO | Pune +95 other locations,72500.0,98.0,2002 (24 yrs old),BPO,Pune +95 other locations,pune
HDFC Life,3.9,Insurance | Pune +698 other locations,32900.0,119.0,,Insurance,Pune +698 other locations,pune
Bandhan Bank,3.7,Banking | Pune +995 other locations,25300.0,13.0,,Banking,Pune +995 other locations,pune
Conneqt Business Solutions,3.6,BPO | Pune +266 other locations,26400.0,361.0,2002 (24 yrs old),BPO,Pune +266 other locations,pune
Mphasis,3.3,IT Services & Consulting | Pune +63 other locations,73200.0,47.0,1998 (28 yrs old),IT Services & Consulting,Pune +63 other locations,pune
Yes Bank,3.7,Banking | Pune +540 other locations,43400.0,141.0,2004 (22 yrs old),Banking,Pune +540 other locations,pune
Tata Steel,4.0,Iron & Steel | Pune +228 other locations,33800.0,77.0,1907 (119 yrs old),Iron & Steel,Pune +228 other locations,pune
Quess,3.8,Recruitment | Pune +740 other locations,30500.0,9.0,2007 (19 yrs old),Recruitment,Pune +740 other locations,pune
Maruti Suzuki,4.2,Automobile | Pune +451 other locations,28400.0,61.0,1981 (45 yrs old),Automobile,Pune +451 other locations,pune
Startek,3.1,BPO | Pune +105 other locations,24400.0,130.0,2017 (9 yrs old),BPO,Pune +105 other locations,pune
Asian Paints,4.0,Chemicals | Pune +547 other locations,25200.0,66.0,,Chemicals,Pune +547 other locations,pune
UltraTech Cement,4.1,Building Material | Pune +534 other locations,24300.0,27.0,1983 (43 yrs old),Building Material,Pune +534 other locations,pune
Paytm,3.2,FinTech | Pune +418 other locations,33900.0,718.0,,FinTech,Pune +418 other locations,pune
Shriram Finance,4.0,NBFC | Pune +1109 other locations,15300.0,8.0,1979 (47 yrs old),NBFC,Pune +1109 other locations,pune
Bajaj Finance,3.9,NBFC | Pune +965 other locations,22700.0,7000.0,1987 (39 yrs old),NBFC,Pune +965 other locations,pune
Equitas Small Finance Bank,4.4,Banking | Pune +479 other locations,13400.0,15.0,,Banking,Pune +479 other locations,pune
Sutherland Global Services,3.4,BPO | Pune +82 other locations,34400.0,250.0,,BPO,Pune +82 other locations,pune
EXL Service,3.6,Analytics & KPO | Pune +63 other locations,44100.0,1500.0,,Analytics & KPO,Pune +63 other locations,pune
Cipla,4.1,Pharma | Pune +291 other locations,26000.0,66.0,1935 (91 yrs old),Pharma,Pune +291 other locations,pune
Samsung,3.9,Consumer Electronics & Appliances | Pune +578 other locations,26200.0,27.0,1969 (57 yrs old),Consumer Electronics & Appliances,Pune +578 other locations,pune
Ericsson,3.9,Telecom | Pune +162 other locations,42500.0,70.0,,Telecom,Pune +162 other locations,pune
Wells Fargo,3.7,Financial Services | Pune +28 other locations,55200.0,168.0,,Financial Services,Pune +28 other locations,pune
Dr. Reddy's,4.0,Pharma | Pune +213 other locations,24000.0,77.0,,Pharma,Pune +213 other locations,pune
Optum Global Solutions,4.0,IT Services & Consulting | Pune +68 other locations,48400.0,73.0,2002 (24 yrs old),IT Services & Consulting,Pune +68 other locations,pune
Delhivery,3.8,Logistics | Pune +751 other locations,21300.0,179.0,2011 (15 yrs old),Logistics,Pune +751 other locations,pune
ICICI Prudential Life Insurance,4.0,Insurance | Pune +505 other locations,22500.0,513.0,2000 (26 yrs old),Insurance,Pune +505 other locations,pune
JPMorgan Chase & Co.,3.8,Financial Services | Pune +55 other locations,24000.0,77.0,,Financial Services,Pune +55 other locations,pune
JSW Steel,3.9,Iron & Steel | Pune +193 other locations,30400.0,108.0,1982 (44 yrs old),Iron & Steel,Pune +193 other locations,pune
HGS,3.7,BPO | Pune +121 other locations,20900.0,18.0,2000 (26 yrs old),BPO,Pune +121 other locations,pune
Jana Small Finance Bank,3.8,Banking | Pune +419 other locations,14200.0,54.0,2006 (20 yrs old),Banking,Pune +419 other locations,pune
Sun Pharmaceutical Industries,4.1,Pharma | Pune +264 other locations,23500.0,287.0,,Pharma,Pune +264 other locations,pune
Ujjivan Small Finance Bank,4.0,Banking | Pune +533 other locations,12800.0,136.0,2017 (9 yrs old),Banking,Pune +533 other locations,pune
Hexaware Technologies,3.4,IT Services & Consulting | Pune +67 other locations,53100.0,636.0,1990 (36 yrs old),IT Services & Consulting,Pune +67 other locations,pune
Amazon Development Centre India,3.8,Internet | Pune +146 other locations,24000.0,77.0,,Internet,Pune +146 other locations,pune
Lupin,4.1,Pharma | Pune +202 other locations,22500.0,33.0,,Pharma,Pune +202 other locations,pune
L&T Construction,4.0,Engineering & Construction | Pune +433 other locations,24000.0,77.0,,Engineering & Construction,Pune +433 other locations,pune
Zydus Lifesciences,3.9,Pharma | Pune +177 other locations,19900.0,21.0,1952 (74 yrs old),Pharma,Pune +177 other locations,pune
Ekart Logistics,3.9,Logistics | Pune +736 other locations,15800.0,77.0,2009 (17 yrs old),Logistics,Pune +736 other locations,pune
Hindustan Unilever,4.2,FMCG | Pune +531 other locations,20000.0,48.0,1872 (154 yrs old),FMCG,Pune +531 other locations,pune
KPMG India,3.4,Management Consulting | Pune +111 other locations,64700.0,61.0,1993 (33 yrs old),Management Consulting,Pune +111 other locations,pune
ITC,3.9,FMCG | Pune +375 other locations,24400.0,77.0,1910 (116 yrs old),FMCG,Pune +375 other locations,pune
Axis Max Life Insurance,4.0,Insurance | Pune +494 other locations,20000.0,143.0,2000 (26 yrs old),Insurance,Pune +494 other locations,pune
Megha Engineering & Infrastructures,3.9,Engineering & Construction | Pune +405 other locations,24000.0,77.0,,Engineering & Construction,Pune +405 other locations,pune
Tata Projects,4.2,Engineering & Construction | Pune +285 other locations,22100.0,29.0,,Engineering & Construction,Pune +285 other locations,pune
Coforge,3.2,IT Services & Consulting | Pune +104 other locations,48500.0,128.0,,IT Services & Consulting,Pune +104 other locations,pune
FIS,3.8,FinTech | Pune +61 other locations,38700.0,122.0,,FinTech,Pune +61 other locations,pune
L&T Technology Services,3.1,IT Services & Consulting | Pune +92 other locations,24000.0,77.0,,IT Services & Consulting,Pune +92 other locations,pune
Bajaj Life Insurance,3.9,Insurance | Pune +607 other locations,24000.0,77.0,,Insurance,Pune +607 other locations,pune
Cholamandalam Investment & Finance,3.8,Financial Services | Pune +840 other locations,24000.0,77.0,,Financial Services,Pune +840 other locations,pune
IIFL Finance,4.0,NBFC | Pune +801 other locations,14200.0,73.0,1995 (31 yrs old),NBFC,Pune +801 other locations,pune
Oracle,3.5,Software Product | Pune +56 other locations,62500.0,1200.0,1977 (49 yrs old),Software Product,Pune +56 other locations,pune
Indian Army,4.7,Defence & Aerospace | Pune +364 other locations,9600.0,77.0,1895 (131 yrs old),Defence & Aerospace,Pune +364 other locations,pune
Omega Healthcare,3.8,BPO | Pune +69 other locations,26200.0,129.0,2003 (23 yrs old),BPO,Pune +69 other locations,pune
Muthoot Finance,3.7,NBFC | Pune +783 other locations,13000.0,93.0,,NBFC,Pune +783 other locations,pune
JLL,4.1,Real Estate | Pune +85 other locations,24200.0,241.0,1999 (27 yrs old),Real Estate,Pune +85 other locations,pune
eClerx,3.1,IT Services & Consulting | Pune +32 other locations,31700.0,233.0,2000 (26 yrs old),IT Services & Consulting,Pune +32 other locations,pune
HCL Group,3.5,IT Services & Consulting | Pune +97 other locations,370000.0,165.0,,IT Services & Consulting,Pune +97 other locations,pune
Piramal Finance,4.2,NBFC | Pune +424 other locations,12700.0,5.0,10k-50k,NBFC,Pune +424 other locations,pune
Virtusa Consulting Services,3.7,IT Services & Consulting | Pune +55 other locations,56300.0,1300.0,1996 (30 yrs old),IT Services & Consulting,Pune +55 other locations,pune
DMart,3.9,Retail | Pune +246 other locations,18500.0,177.0,2002 (24 yrs old),Retail,Pune +246 other locations,pune
HSBC Group,3.9,Financial Services | Pune +63 other locations,42600.0,130.0,1865 (161 yrs old),Financial Services,Pune +63 other locations,pune
Indiamart Intermesh,3.5,Internet | Pune +173 other locations,20000.0,532.0,1996 (30 yrs old),Internet,Pune +173 other locations,pune
Udaan,3.9,Internet | Pune +368 other locations,15600.0,5.0,,Internet,Pune +368 other locations,pune
SMFG India Credit,3.9,NBFC | Pune +592 other locations,11000.0,81.0,2007 (19 yrs old),NBFC,Pune +592 other locations,pune
Aurobindo Pharma,4.0,Pharma | Pune +115 other locations,20700.0,23.0,1986 (40 yrs old),Pharma,Pune +115 other locations,pune
Access Healthcare,3.7,BPO | Pune +64 other locations,28400.0,503.0,2011 (15 yrs old),BPO,Pune +64 other locations,pune
Siemens,3.9,Industrial Automation | Pune +152 other locations,33500.0,134.0,,Industrial Automation,Pune +152 other locations,pune
BigBasket,3.9,Internet | Pune +138 other locations,19100.0,104.0,,Internet,Pune +138 other locations,pune
Manappuram Finance,3.9,NBFC | Pune +647 other locations,9100.0,6.0,1949 (77 yrs old),NBFC,Pune +647 other locations,pune
Firstsource Solutions,3.5,BPO | Pune +74 other locations,24000.0,139.0,2001 (25 yrs old),BPO,Pune +74 other locations,pune
Shapoorji Pallonji Group,4.1,Engineering & Construction | Pune +188 other locations,24000.0,77.0,,Engineering & Construction,Pune +188 other locations,pune
Tata Capital,4.0,NBFC | Pune +438 other locations,15700.0,3100.0,2007 (19 yrs old),NBFC,Pune +438 other locations,pune
GlobalLogic,3.5,IT Services & Consulting | Pune +60 other locations,40500.0,46.0,2000 (26 yrs old),IT Services & Consulting,Pune +60 other locations,pune
ICICI Lombard General Insurance Company,3.5,Insurance | Pune +311 other locations,24000.0,77.0,,Insurance,Pune +311 other locations,pune
Standard Chartered,3.6,Banking | Pune +68 other locations,42000.0,77.0,1853 (173 yrs old),Banking,Pune +68 other locations,pune
Mahindra Finance,3.9,NBFC | Pune +730 other locations,12000.0,390.0,1991 (35 yrs old),NBFC,Pune +730 other locations,pune
PolicyBazaar,3.7,Internet | Pune +149 other locations,17100.0,434.0,,Internet,Pune +149 other locations,pune
Bosch Global Software Technologies,3.7,IT Services & Consulting | Pune +47 other locations,39900.0,14.0,1997 (29 yrs old),IT Services & Consulting,Pune +47 other locations,pune
Apollo Hospitals,4.1,Healthcare | Pune +229 other locations,16400.0,168.0,1983 (43 yrs old),Healthcare,Pune +229 other locations,pune
UST,3.7,IT Services & Consulting | Pune +50 other locations,39400.0,142.0,,IT Services & Consulting,Pune +50 other locations,pune
Ashok Leyland,4.0,Automobile | Pune +259 other locations,18700.0,77.0,1948 (78 yrs old),Automobile,Pune +259 other locations,pune
Citicorp,3.7,Financial Services | Pune +68 other locations,51900.0,77.0,1997 (29 yrs old),Financial Services,Pune +68 other locations,pune
Swiggy,3.7,Internet | Pune +230 other locations,22800.0,281.0,2014 (12 yrs old),Internet,Pune +230 other locations,pune
Hero MotoCorp,4.1,Automobile | Pune +365 other locations,15700.0,77.0,1984 (42 yrs old),Automobile,Pune +365 other locations,pune
Cyient,3.6,IT Services & Consulting | Pune +48 other locations,27300.0,78.0,1991 (35 yrs old),IT Services & Consulting,Pune +48 other locations,pune
CGI Group,4.0,IT Services & Consulting | Pune +43 other locations,45200.0,655.0,1976 (50 yrs old),IT Services & Consulting,Pune +43 other locations,pune
SBI Cards & Payment Services,3.6,Financial Services | Pune +435 other locations,24000.0,77.0,,Financial Services,Pune +435 other locations,pune
Kalpataru Projects International,4.2,Engineering & Construction | Pune +321 other locations,13600.0,1.0,1981 (45 yrs old),Engineering & Construction,Pune +321 other locations,pune
JustDial,3.5,Internet | Pune +229 other locations,15400.0,53.0,1996 (30 yrs old),Internet,Pune +229 other locations,pune
BNY,3.7,Financial Services | Pune +25 other locations,30600.0,1.0,1784 (242 yrs old),Financial Services,Pune +25 other locations,pune
IQVIA,3.7,Clinical Research | Pune +63 other locations,30600.0,20.0,10k-50k,Clinical Research,Pune +63 other locations,pune
NTT Data,3.8,IT Services & Consulting | Pune +79 other locations,35700.0,181.0,1988 (38 yrs old),IT Services & Consulting,Pune +79 other locations,pune
Nagarjuna Construction Company,4.0,Engineering & Construction | Pune +295 other locations,12000.0,11.0,1998 (28 yrs old),Engineering & Construction,Pune +295 other locations,pune
CBRE,4.1,Real Estate | Pune +91 other locations,18700.0,19.0,1906 (120 yrs old),Real Estate,Pune +91 other locations,pune
SBI Life Insurance Company,3.7,Insurance | Pune +655 other locations,11700.0,6.0,2001 (25 yrs old),Insurance,Pune +655 other locations,pune
TVS Motor,3.9,Automobile | Pune +349 other locations,15800.0,64.0,1979 (47 yrs old),Automobile,Pune +349 other locations,pune
Schneider Electric,4.2,Industrial Automation | Pune +119 other locations,24400.0,24.0,1999 (27 yrs old),Industrial Automation,Pune +119 other locations,pune
Persistent Systems,3.6,IT Services & Consulting | Pune +41 other locations,44400.0,235.0,,IT Services & Consulting,Pune +41 other locations,pune
State Bank of India,3.8,Banking | Pune +618 other locations,11600.0,10.0,1806 (220 yrs old),Banking,Pune +618 other locations,pune
Atos,3.8,IT Services & Consulting | Pune +49 other locations,34100.0,91.0,2000 (26 yrs old),IT Services & Consulting,Pune +49 other locations,pune
vivo,4.1,Consumer Electronics & Appliances | Pune +414 other locations,12900.0,11.0,2009 (17 yrs old),Consumer Electronics & Appliances,Pune +414 other locations,pune
Ecom Express,4.0,Logistics | Pune +775 other locations,9500.0,77.0,2012 (14 yrs old),Logistics,Pune +775 other locations,pune
Eviden,3.6,IT Services & Consulting | Pune +39 other locations,28000.0,8.0,1k-5k,IT Services & Consulting,Pune +39 other locations,pune
KEC International,4.0,Engineering & Construction | Pune +313 other locations,13300.0,6.0,1945 (81 yrs old),Engineering & Construction,Pune +313 other locations,pune
Amdocs,3.6,Software Product | Pune +23 other locations,37400.0,11.0,1982 (44 yrs old),Software Product,Pune +23 other locations,pune
JBM Group,3.9,Auto Components | Pune +117 other locations,13900.0,45.0,,Auto Components,Pune +117 other locations,pune
Nagarro,3.9,IT Services & Consulting | Pune +49 other locations,32000.0,945.0,1996 (30 yrs old),IT Services & Consulting,Pune +49 other locations,pune
Varun Beverages,4.0,Beverage | Pune +379 other locations,12000.0,41.0,1995 (31 yrs old),Beverage,Pune +379 other locations,pune
ITC Infotech,3.7,IT Services & Consulting | Pune +67 other locations,29500.0,78.0,2000 (26 yrs old),IT Services & Consulting,Pune +67 other locations,pune
Home Credit Finance,4.0,NBFC | Pune +136 other locations,9400.0,96.0,2012 (14 yrs old),NBFC,Pune +136 other locations,pune
Bosch,4.1,Auto Components | Pune +130 other locations,20700.0,77.0,1886 (140 yrs old),Auto Components,Pune +130 other locations,pune
Randstad,3.7,Recruitment | Pune +352 other locations,16400.0,8.0,1992 (34 yrs old),Recruitment,Pune +352 other locations,pune
EY Global Delivery Services ( EY GDS),3.5,IT Services & Consulting | Pune +56 other locations,24000.0,77.0,,IT Services & Consulting,Pune +56 other locations,pune
Hewlett Packard Enterprise,4.1,IT Services & Consulting | Pune +103 other locations,27100.0,220.0,2015 (11 yrs old),IT Services & Consulting,Pune +103 other locations,pune
Utkarsh Small Finance Bank,3.6,Banking | Pune +407 other locations,10800.0,26.0,2009 (17 yrs old),Banking,Pune +407 other locations,pune
Mahindra Logistics,3.7,Logistics | Pune +233 other locations,280000.0,383.0,1986 (40 yrs old),Logistics,Pune +233 other locations,pune
Aditya Birla Fashion and Retail,4.1,Fashion & Textile | Pune +291 other locations,13100.0,76.0,,Fashion & Textile,Pune +291 other locations,pune
L&T Finance,3.9,NBFC | Pune +634 other locations,24000.0,77.0,,NBFC,Pune +634 other locations,pune
OPPO,3.9,Consumer Electronics & Appliances | Pune +410 other locations,11800.0,10.0,2004 (22 yrs old),Consumer Electronics & Appliances,Pune +410 other locations,pune
Dell,3.8,Consumer Electronics & Appliances | Pune +117 other locations,28700.0,16.0,1984 (42 yrs old),Consumer Electronics & Appliances,Pune +117 other locations,pune
CARS24,3.4,Internet | Pune +173 other locations,24000.0,77.0,,Internet,Pune +173 other locations,pune
Havells,3.9,Electrical Equipment | Pune +260 other locations,15500.0,34.0,1983 (43 yrs old),Electrical Equipment,Pune +260 other locations,pune
Intas Pharmaceuticals,4.1,Pharma | Pune +148 other locations,17300.0,54.0,1977 (49 yrs old),Pharma,Pune +148 other locations,pune
R1 RCM,3.8,BPO | Pune +46 other locations,21100.0,163.0,2007 (19 yrs old),BPO,Pune +46 other locations,pune
Tata AIA Life Insurance,3.9,Insurance | Pune +442 other locations,14100.0,680.0,2001 (25 yrs old),Insurance,Pune +442 other locations,pune
Hyundai Motor India Limited,4.1,Automobile | Pune +287 other locations,13800.0,3.0,1967 (59 yrs old),Automobile,Pune +287 other locations,pune
Deutsche Bank,3.8,Banking | Pune +42 other locations,36000.0,391.0,1870 (156 yrs old),Banking,Pune +42 other locations,pune
Hetero,3.9,Pharma | Pune +67 other locations,15000.0,141.0,,Pharma,Pune +67 other locations,pune
Motilal Oswal Financial Services,3.7,Financial Services | Pune +168 other locations,12900.0,45.0,,Financial Services,Pune +168 other locations,pune
Team Lease,3.9,Recruitment | Pune +396 other locations,16000.0,77.0,2016 (10 yrs old),Recruitment,Pune +396 other locations,pune
Berger Paints,3.7,Chemicals | Pune +353 other locations,10000.0,131.0,,Chemicals,Pune +353 other locations,pune
VE Commercial Vehicles,3.9,Automobile | Pune +179 other locations,14100.0,8.0,2008 (18 yrs old),Automobile,Pune +179 other locations,pune
Lenskart,3.3,Internet | Pune +240 other locations,13200.0,127.0,,Internet,Pune +240 other locations,pune
Thermax Limited,4.2,Industrial Machinery | Pune +250 other locations,24000.0,77.0,,Industrial Machinery,Pune +250 other locations,pune
Bajaj Auto,3.8,Automobile | Pune +317 other locations,14500.0,77.0,1945 (81 yrs old),Automobile,Pune +317 other locations,pune
Macleods Pharmaceuticals,3.7,Pharma | Pune +133 other locations,15500.0,10.0,1986 (40 yrs old),Pharma,Pune +133 other locations,pune
Aakash Educational Services,3.2,Education & Training | Pune +244 other locations,13600.0,71.0,1988 (38 yrs old),Education & Training,Pune +244 other locations,pune
Kogta Financial India Limited,4.7,NBFC | Pune +259 other locations,1900.0,115.0,1996 (30 yrs old),NBFC,Pune +259 other locations,pune
Jubilant Foods Works,3.7,Hospitality | Pune +262 other locations,9200.0,192.0,1995 (31 yrs old),Hospitality,Pune +262 other locations,pune
LG Electronics,3.9,Consumer Electronics & Appliances | Pune +298 other locations,11000.0,77.0,1958 (68 yrs old),Consumer Electronics & Appliances,Pune +298 other locations,pune
Royal Enfield,4.2,Automobile | Pune +372 other locations,14800.0,20.0,1901 (125 yrs old),Automobile,Pune +372 other locations,pune
Hindalco Industries,4.2,Metals & Mining | Pune +127 other locations,12400.0,4.0,1958 (68 yrs old),Metals & Mining,Pune +127 other locations,pune
Jindal Steel Limited,3.9,Iron & Steel | Pune +172 other locations,15400.0,31.0,1979 (47 yrs old),Iron & Steel,Pune +172 other locations,pune
John Deere,4.0,Industrial Machinery | Pune +155 other locations,15200.0,1.0,2001 (25 yrs old),Industrial Machinery,Pune +155 other locations,pune
